10° Memorial Raffaele Punzi
 Cross Table at round 7 sorted by score

Pos NAME                 Rtg   T  Fed  Pts |   1     2     3     4     5     6     7    |  BucT     S-B    APRO  
-----------------------------------------------------------------------------------------------------------------
  1 Laketic Gojko        2427  IM SRB  6.0 | +W42  +B24  +W6   =B13  +B2   +W4   =B7    |   33.5   28.50  2073.1 
  2 Carnicelli Valerio   2323  FM ITA  5.5 | +W40  +B22  +W17  +B9   -W1   +B13  =W6    |   33.0   24.25  2040.0 
  3 Gromovs Sergejs      2230  FM ITA  5.5 | +B47  +W28  +B8   =W5   -B4   +W16  +B13   |   32.0   23.75  1943.6 
  4 Auletta Angelo       2175     ITA  5.5 | +W26  +B58  +W21  =B10  +W3   -B1   +B8    |   31.5   23.00  2013.1 
  5 Sabia Corrado        2216     ITA  5.5 | +W44  +B11  +W18  =B3   -W13  +B21  +W15   |   30.5   23.25  1940.3 
  6 Carnicelli Flavio    2019     ITA  5.5 | +W52  +B27  -B1   +W43  +B32  +W10  =B2    |   29.5   20.75  1911.0 
  7 Messina Enrico       2184     ITA  5.5 | -B34  +W66  +W39  +B58  +W17  +B22  =W1    |   24.5   18.00  1768.4 
  8 Buonanno Raffaele    1947  FM ITA  5.0 | +W48  +B30  -W3   +B29  +W11  +B9   -W4    |   31.5   20.50  1847.0 
  9 Fezza Davide         2028     ITA  5.0 | +B35  +W37  +B36  -W2   +B14  -W8   +B24   |   29.5   19.00  1862.6 
 10 Stromboli Ettore     2415  FM ITA  5.0 | +B45  +W54  =B14  =W4   +B24  -B6   +W21   |   29.0   18.50  1939.6 
 11 Attanasio Aniello    1781     ITA  5.0 | +B63  -W5   +B46  +W36  -B8   +W41  +B23   |   26.0   15.50  1742.4 
 12 Riso Giuseppe        1567     ITA  5.0 | -B23  -W51  +B60  +W59  +B43  +B27  +W25   |   21.5   15.00  1593.1 
 13 Martorelli Antonio   2152  IM ITA  4.5 | +B46  +W43  +B32  =W1   +B5   -W2   -W3    |   32.0   18.00  1997.1 
 14 Paduano Claudio      1961  CM ITA  4.5 | +W31  +B38  =W10  +B16  -W9   -B15  +W40   |   29.5   18.00  1850.3 
 15 Molza Giuseppe       1725     ITA  4.5 | =W55  +BYE  -B16  +B33  +W37  +W14  -B5    |   27.0   15.75  1783.0 
 16 Vitale Michele       1898     ITA  4.5 | +W69  =B39  +W15  -W14  +B35  -B3   +W38   |   27.0   15.25  1825.3 
 17 Felace Luca          1933     ITA  4.5 | +B66  +W34  -B2   +W30  -B7   =W32  +B35   |   26.5   13.75  1784.9 
 18 Adinolfi Massimo     1879     ITA  4.5 | +B68  +W41  -B5   -W32  +B34  =W40  +B33   |   23.0   12.25  1683.4 
 19 Rizzo Gianluca       1999     ITA  4.5 | -B41  +W69  +B45  -W21  +B44  =W38  +B32   |   22.5   13.75  1804.2 
 20 De Rosa Mariagrazia  2008 WFM ITA  4.5 | =BYE  -BYE  -W33  +B55  +W53  +B52  +W22   |   22.5   11.50  1630.8 
 21 Lombardi Michele     1769     ITA  4.0 | +B51  +W23  -B4   +B19  +W25  -W5   -B10   |   31.0   15.00  1876.0 
 22 Gambardella Piero    1826     ITA  4.0 | +B60  -W2   +B34  +W26  +B23  -W7   -B20   |   29.5   13.50  1831.0 
 23 Puglisi Vincenzo     2031     ITA  4.0 | +W12  -B21  +W42  +B27  -W22  +B29  -W11   |   29.0   16.00  1826.6 
 24 Abbes Rached         1853     ITA  4.0 | +W53  -W1   +B47  +B44  -W10  +B26  -W9    |   28.5   12.50  1862.9 
 25 Di Leva Michele      1950     ITA  4.0 | +B56  -W32  +B40  +W38  -B21  +W42  -B12   |   25.0   12.50  1779.6 
 26 Maiellaro Gabriele   1575     ITA  4.0 | -B4   +W70  +B28  -B22  +W58  -W24  +B43   |   25.0   11.50  1819.7 
 27 Martorelli Vincenzo  1753     ITA  4.0 | +B65  -W6   +B41  -W23  +B46  -W12  +B45   |   25.0   10.50  1722.1 
 28 Festa Giovanni       1776     ITA  4.0 | +W67  -B3   -W26  -B31  +W50  +B46  +B42   |   23.0    9.50  1626.1 
 29 Paduano Gennaro      1720     ITA  4.0 | -B36  +W68  +B59  -W8   +B31  -W23  +B41   |   22.0    9.50  1587.6 
 30 Fucito Giovanni      1730     ITA  4.0 | +B59  -W8   +B61  -B17  -W41  +W60  +B44   |   21.5    9.00  1656.1 
 31 Gambardella Pierluig 1456     ITA  4.0 | -B14  -W59  +B63  +W28  -W29  +B58  +W54   |   21.0   10.50  1572.0 
 32 Adinolfi Enrico      1694     ITA  3.5 | +W57  +B25  -W13  +B18  -W6   =B17  -W19   |   30.0   13.25  1834.6 
